source_Dut	target_Fra
aanvang	prendre cours
aanvang	début
aanvang	début
aanvang	début
aanvang	entamer
aanvang	entamer
aanvang	entamer
aanvang	entamer
aanvang	entamer
aanvang	début
aanvang	début
aanvang	début
aanvang	début
aanvang	début
aanvang	début
aanvang	début
aanvang	début
aanvang	début
aanvang	débuter
aanvang	début
aanvang	début
aanvang	début
aanvang	début
aanvang	entrer
aanvang	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	commencer
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	débuter
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	lancer
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	commencer
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	débuter
begin	débuter
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
begin	début
